city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target
0.92,Male,No relevent experience,Full time course,Graduate,4,10000+,2,72,0
0.92,,Has relevent experience,no_enrollment,Graduate,12,100-500,1,20,0
0.743,Male,Has relevent experience,no_enrollment,Masters,>20,1000-4999,3,178,0
0.897,Male,No relevent experience,Full time course,Phd,14,Oct-49,1,12,1
0.924,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,4,50,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,11,500-999,1,32,0
0.878,Male,Has relevent experience,no_enrollment,Graduate,16,100-500,2,6,0
0.897,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,4,6,0
0.92,,No relevent experience,no_enrollment,Graduate,<1,,>4,125,1
0.698,Male,No relevent experience,Full time course,Graduate,6,,1,150,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,3,,1,47,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,100-500,1,48,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,5,,2,55,1
0.897,Male,Has relevent experience,no_enrollment,Masters,10,1000-4999,1,28,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,15,1000-4999,>4,20,0
0.92,,Has relevent experience,no_enrollment,Graduate,6,10000+,1,10,0
0.843,,Has relevent experience,no_enrollment,Graduate,13,<10,>4,22,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,8,100-500,>4,4,1
0.92,Female,No relevent experience,no_enrollment,Graduate,16,,1,104,0
0.866,,No relevent experience,no_enrollment,High School,2,500-999,never,148,0
0.939,Male,Has relevent experience,no_enrollment,Masters,>20,10000+,2,15,0
0.754,Male,Has relevent experience,Part time course,Graduate,11,,>4,166,0
0.897,Male,No relevent experience,no_enrollment,Masters,>20,,4,163,0
0.55,Male,Has relevent experience,no_enrollment,Graduate,7,<10,1,12,1
0.698,,No relevent experience,no_enrollment,Masters,2,<10,2,113,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,10000+,1,12,0
0.624,Female,No relevent experience,Full time course,High School,3,,never,242,0
0.55,Male,Has relevent experience,,Graduate,2,Oct-49,1,3,1
0.769,Male,No relevent experience,Full time course,Graduate,2,50-99,1,50,0
0.682,Male,No relevent experience,Full time course,Primary School,3,,never,73,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,6,10000+,1,6,0
0.897,Male,No relevent experience,Full time course,Graduate,2,,1,46,1
0.91,Female,Has relevent experience,no_enrollment,Graduate,10,100-500,1,12,0
0.754,Male,Has relevent experience,no_enrollment,Masters,15,1000-4999,>4,7,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,13,,1,63,0
0.624,,Has relevent experience,no_enrollment,Masters,6,10000+,2,54,0
0.698,Male,Has relevent experience,Part time course,Graduate,13,Oct-49,3,50,0
0.558,Male,No relevent experience,Full time course,Graduate,4,,1,43,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,2,70,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,7,50-99,1,140,0
0.855,Male,Has relevent experience,Part time course,Masters,1,10000+,1,47,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,>20,,4,8,0
0.92,,No relevent experience,no_enrollment,Masters,11,1000-4999,1,98,0
0.897,,No relevent experience,no_enrollment,Masters,7,500-999,1,27,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,100-500,3,88,0
0.689,,No relevent experience,no_enrollment,,3,,never,43,0
0.666,,Has relevent experience,no_enrollment,Graduate,8,Oct-49,1,88,0
0.624,,No relevent experience,,High School,3,,,145,0
0.624,,Has relevent experience,no_enrollment,Graduate,9,100-500,1,48,1
0.698,Male,Has relevent experience,no_enrollment,Graduate,6,,1,24,1
0.896,Male,Has relevent experience,no_enrollment,Masters,>20,50-99,>4,78,0
0.767,,Has relevent experience,Part time course,Graduate,12,,never,94,0
0.624,,No relevent experience,Full time course,High School,6,,never,196,0
0.887,Female,No relevent experience,no_enrollment,Masters,5,50-99,1,218,0
0.92,Male,No relevent experience,no_enrollment,Graduate,4,,1,155,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,500-999,>4,61,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,18,,1,12,1
0.913,Male,Has relevent experience,no_enrollment,Graduate,>20,<10,1,101,0
0.624,Male,Has relevent experience,Full time course,Graduate,3,Oct-49,1,202,1
0.624,,No relevent experience,Full time course,,2,,never,15,1
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,100-500,>4,90,0
0.527,Male,No relevent experience,Full time course,High School,2,,1,9,0
0.624,Male,No relevent experience,no_enrollment,High School,7,,never,136,1
0.624,,No relevent experience,Full time course,Graduate,3,50-99,1,26,1
0.887,,Has relevent experience,no_enrollment,Graduate,>20,500-999,never,54,0
0.92,Male,No relevent experience,no_enrollment,High School,4,,never,21,0
0.855,Male,No relevent experience,Part time course,Graduate,10,,2,11,0
0.895,,Has relevent experience,no_enrollment,Graduate,7,10000+,1,109,0
0.579,Male,Has relevent experience,no_enrollment,Graduate,14,Oct-49,,57,0
0.897,Female,No relevent experience,Full time course,Graduate,4,,never,146,0
0.624,Male,No relevent experience,Full time course,High School,7,,never,88,1
0.926,,No relevent experience,Full time course,High School,15,,never,21,0
0.926,Male,No relevent experience,no_enrollment,High School,4,,never,104,0
0.91,,Has relevent experience,no_enrollment,Graduate,6,,4,4,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,5,1000-4999,3,60,0
0.624,,Has relevent experience,no_enrollment,Graduate,5,50-99,1,304,1
0.939,,Has relevent experience,no_enrollment,Graduate,9,100-500,1,78,0
0.83,Male,Has relevent experience,no_enrollment,High School,5,50-99,never,162,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,14,100-500,2,3,0
0.926,,No relevent experience,no_enrollment,Graduate,2,50-99,1,15,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,116,0
0.92,,No relevent experience,no_enrollment,Primary School,<1,,,166,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,12,Oct-49,2,83,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,74,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,<10,2,82,0
0.73,Male,Has relevent experience,no_enrollment,Graduate,11,100-500,>4,21,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,>4,99,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,4,Oct-49,2,45,0
0.624,Male,Has relevent experience,Full time course,Graduate,2,Oct-49,2,3,1
0.624,Male,No relevent experience,Full time course,Graduate,5,,never,34,1
0.624,Male,No relevent experience,Full time course,Graduate,5,,never,111,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,16,50-99,1,70,0
0.698,Male,No relevent experience,Full time course,Graduate,<1,,never,82,1
0.764,Male,Has relevent experience,no_enrollment,Graduate,7,50-99,1,48,0
0.624,,Has relevent experience,no_enrollment,Graduate,3,,1,284,1
0.698,Male,Has relevent experience,no_enrollment,Graduate,17,,>4,24,1
0.624,,Has relevent experience,Full time course,Graduate,8,10000+,1,6,1
0.92,Female,Has relevent experience,no_enrollment,Masters,>20,,1,8,1
0.624,Male,No relevent experience,no_enrollment,Graduate,3,,1,2,1
0.92,Male,No relevent experience,Part time course,Graduate,8,,1,9,1
0.92,,No relevent experience,Full time course,Graduate,10,,never,278,0
0.949,Male,No relevent experience,Part time course,Graduate,5,100-500,2,76,0
0.68,Male,No relevent experience,no_enrollment,Graduate,10,Oct-49,never,22,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,>4,36,0
0.897,Male,Has relevent experience,no_enrollment,Masters,11,50-99,1,56,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,>20,,>4,123,0
0.698,Male,Has relevent experience,no_enrollment,Masters,15,<10,1,36,0
0.92,Male,No relevent experience,no_enrollment,Graduate,9,100-500,3,43,0
0.926,Male,Has relevent experience,no_enrollment,Masters,>20,50-99,1,24,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,4,94,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,50-99,1,20,0
0.624,Male,No relevent experience,Full time course,Graduate,1,,never,22,1
0.92,Female,No relevent experience,no_enrollment,Graduate,4,,2,166,0
0.939,Male,No relevent experience,Full time course,Graduate,5,,never,48,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,1,85,0
0.92,Male,Has relevent experience,no_enrollment,Phd,>20,50-99,>4,15,0
0.689,Male,Has relevent experience,no_enrollment,Graduate,8,<10,never,24,0
0.624,,Has relevent experience,no_enrollment,Masters,7,10000+,1,34,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,4,10000+,never,17,0
0.555,Male,No relevent experience,Full time course,Graduate,2,,never,25,1
0.689,,No relevent experience,Full time course,Primary School,4,,1,42,1
0.795,,Has relevent experience,,Graduate,10,,never,54,0
0.624,,Has relevent experience,Full time course,Masters,5,,never,24,1
0.698,Male,No relevent experience,no_enrollment,Graduate,5,,1,60,1
0.887,,No relevent experience,no_enrollment,High School,4,,1,72,1
0.91,,Has relevent experience,no_enrollment,Masters,13,100-500,>4,26,0
0.925,Male,Has relevent experience,no_enrollment,Graduate,16,,1,28,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,7,50-99,never,102,0
0.91,Male,Has relevent experience,,Graduate,10,,>4,13,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,5000-9999,>4,18,0
0.624,Male,Has relevent experience,no_enrollment,Masters,7,Oct-49,1,284,0
0.624,Male,No relevent experience,Full time course,,2,,1,31,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,14,5000-9999,>4,28,1
0.624,Male,Has relevent experience,no_enrollment,Masters,8,1000-4999,2,13,0
0.92,Male,No relevent experience,Full time course,Graduate,4,,never,82,1
0.89,Male,Has relevent experience,no_enrollment,Masters,>20,,1,30,0
0.92,Female,No relevent experience,Full time course,Graduate,5,500-999,1,30,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,6,100-500,1,38,0
0.754,Male,Has relevent experience,Full time course,High School,7,,1,76,1
0.84,Male,Has relevent experience,no_enrollment,Graduate,3,100-500,2,7,0
0.624,,No relevent experience,no_enrollment,Graduate,<1,10000+,1,77,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,3,Oct-49,1,21,0
0.91,,No relevent experience,no_enrollment,Graduate,4,50-99,1,52,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,15,500-999,>4,29,1
0.527,Male,No relevent experience,Full time course,High School,4,,never,56,1
0.92,Male,Has relevent experience,Full time course,High School,8,10000+,1,39,0
0.855,,No relevent experience,Full time course,Masters,1,500-999,never,11,0
0.923,,Has relevent experience,no_enrollment,Graduate,4,10000+,1,11,0
0.698,,No relevent experience,no_enrollment,High School,1,,never,98,0
0.558,Male,No relevent experience,Part time course,Graduate,2,Oct-49,never,71,1
0.926,,Has relevent experience,no_enrollment,Graduate,>20,<10,>4,22,0
0.698,Male,Has relevent experience,no_enrollment,Masters,8,,1,23,1
0.624,,Has relevent experience,no_enrollment,Graduate,3,<10,1,332,0
0.55,,Has relevent experience,no_enrollment,Graduate,7,50-99,1,81,0
0.804,Male,Has relevent experience,no_enrollment,Masters,5,,1,62,0
0.924,Male,Has relevent experience,no_enrollment,Masters,11,1000-4999,4,31,0
0.921,Male,Has relevent experience,no_enrollment,High School,14,100-500,1,26,0
0.896,Male,Has relevent experience,no_enrollment,Masters,>20,,never,21,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,3,10000+,1,19,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,Oct-49,2,19,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,8,50-99,2,44,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,10000+,4,20,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,>20,,>4,98,0
0.893,Male,Has relevent experience,Full time course,Graduate,9,,4,178,0
0.91,Male,Has relevent experience,no_enrollment,Masters,11,50-99,2,62,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,>20,<10,>4,81,0
0.767,Male,Has relevent experience,Full time course,Graduate,3,<10,2,71,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,6,100-500,>4,72,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,1,45,0
0.624,,Has relevent experience,no_enrollment,Graduate,4,500-999,2,17,1
0.91,,Has relevent experience,no_enrollment,Graduate,5,100-500,1,146,0
0.884,Female,No relevent experience,no_enrollment,Phd,>20,50-99,>4,27,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,Oct-49,1,23,1
0.926,Male,Has relevent experience,no_enrollment,Graduate,11,100-500,2,8,0
0.92,Male,Has relevent experience,,Graduate,8,10000+,never,36,0
0.91,Male,Has relevent experience,no_enrollment,Masters,14,1000-4999,>4,72,0
0.91,Male,No relevent experience,Part time course,Graduate,3,<10,never,44,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,4,100-500,1,50,1
0.896,Male,Has relevent experience,no_enrollment,Graduate,>20,,1,16,0
0.754,Male,Has relevent experience,Full time course,Graduate,10,,2,31,1
0.92,Male,No relevent experience,Full time course,High School,2,,1,9,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,16,50-99,1,14,0
0.92,Male,Has relevent experience,Part time course,Graduate,7,,2,310,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,6,50-99,1,94,0
0.624,Male,Has relevent experience,no_enrollment,Masters,8,100-500,3,9,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,<10,1,88,0
0.926,Male,Has relevent experience,Part time course,Graduate,<1,,2,26,1
0.878,Male,Has relevent experience,no_enrollment,Masters,5,500-999,1,11,0
0.827,,No relevent experience,no_enrollment,Masters,2,1000-4999,1,36,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,8,100-500,1,44,0
0.725,,No relevent experience,Full time course,Graduate,7,,never,112,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,7,50-99,2,46,1
0.893,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,28,1
0.827,Male,Has relevent experience,no_enrollment,Masters,20,Oct-49,1,22,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,8,,1,44,0
0.884,Male,Has relevent experience,no_enrollment,Masters,6,500-999,3,32,0
0.91,Male,Has relevent experience,no_enrollment,High School,19,100-500,>4,23,0
0.92,Male,Has relevent experience,,Graduate,13,,>4,47,1
0.926,Male,Has relevent experience,no_enrollment,Masters,6,50-99,2,78,0
0.926,,Has relevent experience,no_enrollment,Masters,7,1000-4999,never,57,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,15,100-500,>4,69,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,>4,69,0
0.924,Male,Has relevent experience,no_enrollment,Phd,12,<10,1,51,0
0.794,Male,Has relevent experience,no_enrollment,Masters,5,50-99,1,84,0
0.91,,Has relevent experience,no_enrollment,Graduate,>20,Oct-49,,42,0
0.926,Male,Has relevent experience,no_enrollment,High School,11,50-99,1,9,0
0.624,Male,No relevent experience,no_enrollment,Graduate,10,,>4,6,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,3,,1,33,1
0.698,Male,No relevent experience,Full time course,Graduate,3,Oct-49,1,55,1
0.92,Male,No relevent experience,no_enrollment,Masters,20,100-500,4,35,0
0.893,Male,No relevent experience,no_enrollment,Graduate,2,,never,222,0
0.926,,No relevent experience,Full time course,Graduate,7,,2,212,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,14,50-99,never,250,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,50-99,3,36,0
0.893,Male,Has relevent experience,no_enrollment,High School,12,,2,4,0
0.55,Male,Has relevent experience,no_enrollment,Masters,8,,2,80,0
0.92,Male,No relevent experience,Full time course,Graduate,7,,never,44,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,10000+,>4,33,0
0.789,Male,No relevent experience,Full time course,Graduate,3,50-99,1,46,0
0.738,Male,Has relevent experience,Full time course,Graduate,6,100-500,1,39,0
0.689,Male,Has relevent experience,no_enrollment,Primary School,16,,>4,154,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,5,50-99,never,111,0
0.682,Male,Has relevent experience,no_enrollment,Graduate,9,10000+,>4,88,1
0.896,,No relevent experience,Full time course,High School,2,,1,20,1
0.939,Male,Has relevent experience,no_enrollment,Graduate,15,,1,8,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,4,500-999,2,42,0
0.624,Male,Has relevent experience,no_enrollment,Masters,6,,2,74,1
0.92,Male,No relevent experience,no_enrollment,,4,,never,154,0
0.92,Male,No relevent experience,Full time course,Graduate,5,,1,116,0
0.855,Male,Has relevent experience,no_enrollment,High School,7,5000-9999,2,57,0
0.855,Male,Has relevent experience,no_enrollment,Masters,15,10000+,>4,12,0
0.767,Male,Has relevent experience,no_enrollment,Graduate,15,,>4,23,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,3,Oct-49,2,7,1
0.555,,Has relevent experience,no_enrollment,,3,50-99,2,5,1
0.926,,Has relevent experience,no_enrollment,High School,11,10000+,>4,107,0
0.92,Female,Has relevent experience,no_enrollment,Masters,17,50-99,2,11,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,50-99,1,85,0
0.624,,No relevent experience,no_enrollment,,2,,never,72,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,7,10000+,4,50,0
0.926,Male,Has relevent experience,no_enrollment,Masters,17,500-999,2,73,0
0.92,Male,Has relevent experience,Part time course,Graduate,9,100-500,2,156,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,172,0
0.624,,Has relevent experience,no_enrollment,Graduate,<1,50-99,1,74,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,3,,2,4,1
0.92,Male,No relevent experience,Part time course,High School,3,,1,24,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,14,,>4,99,0
0.624,,Has relevent experience,no_enrollment,Graduate,2,,1,2,1
0.624,,Has relevent experience,Full time course,,3,,>4,132,1
0.926,Male,No relevent experience,Full time course,Masters,10,1000-4999,2,37,0
0.92,,Has relevent experience,no_enrollment,Graduate,19,500-999,>4,94,0
0.55,,No relevent experience,Full time course,Graduate,3,,never,14,1
0.827,Male,No relevent experience,no_enrollment,Masters,7,<10,1,44,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,10000+,>4,80,0
0.624,,Has relevent experience,no_enrollment,Graduate,1,<10,,24,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,3,27,1
0.766,Male,Has relevent experience,no_enrollment,Graduate,3,,1,154,0
0.92,Male,Has relevent experience,Full time course,Graduate,11,,1,55,0
0.92,,Has relevent experience,,,6,,,156,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,58,0
0.939,Male,Has relevent experience,Full time course,High School,8,,never,180,0
0.579,Male,Has relevent experience,no_enrollment,Masters,10,,never,27,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,5000-9999,2,246,0
0.92,Male,No relevent experience,Full time course,Graduate,>20,100-500,1,4,0
0.915,Male,Has relevent experience,no_enrollment,Graduate,10,50-99,4,128,0
0.92,,No relevent experience,no_enrollment,Primary School,<1,,never,53,0
0.558,Male,No relevent experience,no_enrollment,Primary School,4,,1,40,1
0.754,Male,Has relevent experience,no_enrollment,Graduate,9,50-99,1,102,0
0.855,Male,No relevent experience,Full time course,High School,7,,1,55,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,1,143,0
0.691,,Has relevent experience,Full time course,Graduate,4,,,34,1
0.923,Male,No relevent experience,Full time course,Masters,4,,1,83,0
0.624,Male,No relevent experience,no_enrollment,High School,3,,never,9,0
0.624,,Has relevent experience,no_enrollment,Graduate,6,5000-9999,2,81,1
0.55,,Has relevent experience,no_enrollment,Graduate,6,500-999,1,62,1
0.91,Male,No relevent experience,no_enrollment,Graduate,11,100-500,1,12,0
0.939,Female,Has relevent experience,no_enrollment,Graduate,4,Oct-49,2,41,0
0.624,Male,Has relevent experience,no_enrollment,Masters,9,,never,100,1
0.926,Male,No relevent experience,Full time course,Graduate,9,,never,75,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,9,,4,86,0
0.913,Male,Has relevent experience,no_enrollment,Masters,17,1000-4999,3,54,0
0.624,,No relevent experience,Full time course,High School,3,,never,145,0
0.903,Male,Has relevent experience,no_enrollment,Phd,4,5000-9999,2,21,1
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,,>4,44,1
0.836,Female,Has relevent experience,no_enrollment,Phd,18,50-99,>4,23,0
0.926,Male,Has relevent experience,Part time course,High School,15,50-99,3,72,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,8,100-500,4,65,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,>20,<10,1,24,0
0.926,Male,No relevent experience,Full time course,Graduate,17,,4,20,0
0.878,Male,Has relevent experience,no_enrollment,Graduate,13,Oct-49,3,8,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,<10,2,104,0
0.624,Male,No relevent experience,Full time course,High School,4,,never,44,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,11,50-99,>4,74,1
0.848,Male,Has relevent experience,no_enrollment,Graduate,9,<10,>4,8,0
0.939,Other,No relevent experience,Full time course,Graduate,2,50-99,1,45,0
0.754,Male,Has relevent experience,Full time course,Graduate,4,,never,7,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,2,68,0
0.923,Male,Has relevent experience,no_enrollment,Masters,15,100-500,4,24,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,3,500-999,1,65,0
0.92,Other,Has relevent experience,no_enrollment,Graduate,4,50-99,1,31,0
0.878,,Has relevent experience,no_enrollment,Masters,>20,<10,2,4,0
0.924,Male,Has relevent experience,no_enrollment,Graduate,8,1000-4999,1,86,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,3,1000-4999,2,258,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,>20,<10,>4,42,0
0.698,,Has relevent experience,Full time course,,1,<10,1,112,0
0.92,,Has relevent experience,no_enrollment,Graduate,6,,2,47,1
0.896,,No relevent experience,no_enrollment,High School,2,100-500,2,27,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,11,,1,6,1
0.92,,Has relevent experience,Full time course,Graduate,4,,1,55,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,7,,2,107,1
0.527,Male,No relevent experience,no_enrollment,Masters,4,,3,48,0
0.624,,No relevent experience,Full time course,Graduate,2,,never,4,1
0.556,,Has relevent experience,,Graduate,3,50-99,1,50,1
0.92,Male,Has relevent experience,Full time course,High School,15,Oct-49,2,33,0
0.896,Male,No relevent experience,no_enrollment,Masters,9,10000+,1,11,0
0.682,,No relevent experience,no_enrollment,Graduate,4,,1,34,1
0.698,Male,No relevent experience,,,3,,never,37,0
0.92,Female,No relevent experience,no_enrollment,Graduate,1,,1,23,1
0.698,Male,No relevent experience,Full time course,Graduate,3,,never,11,0
0.91,Male,Has relevent experience,no_enrollment,Phd,>20,Oct-49,>4,57,0
0.698,,Has relevent experience,no_enrollment,Graduate,2,1000-4999,1,140,1
0.624,,No relevent experience,Full time course,Masters,1,,never,16,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,4,1000-4999,1,32,0
0.899,,Has relevent experience,no_enrollment,Graduate,>20,5000-9999,,39,0
0.796,,No relevent experience,no_enrollment,,1,100-500,,88,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,6,50-99,1,20,0
0.92,Female,Has relevent experience,no_enrollment,Masters,>20,,>4,18,0
0.55,Male,Has relevent experience,,,3,,,28,1
0.92,,Has relevent experience,no_enrollment,Graduate,12,50-99,3,28,0
0.624,,Has relevent experience,,,9,Oct-49,1,2,1
0.913,,Has relevent experience,no_enrollment,Masters,>20,50-99,1,116,0
0.624,,Has relevent experience,no_enrollment,Masters,4,500-999,1,24,0
0.893,Male,Has relevent experience,no_enrollment,Graduate,9,100-500,1,26,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,1,24,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,5,10000+,1,330,0
0.624,,No relevent experience,Full time course,Graduate,3,,never,44,0
0.624,Male,No relevent experience,no_enrollment,Graduate,>20,50-99,>4,107,0
0.91,Male,No relevent experience,no_enrollment,Graduate,1,10000+,1,11,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,1,107,0
0.754,,No relevent experience,no_enrollment,Primary School,2,,never,102,0
0.949,Male,Has relevent experience,no_enrollment,Graduate,12,5000-9999,2,158,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,50-99,1,59,1
0.55,Male,Has relevent experience,no_enrollment,Graduate,4,50-99,1,74,0
0.926,Male,No relevent experience,Full time course,Graduate,4,,1,60,1
0.836,Male,No relevent experience,Full time course,Graduate,3,,1,12,1
0.887,,No relevent experience,no_enrollment,Masters,8,,2,88,1
0.698,Male,Has relevent experience,Full time course,High School,6,Oct-49,1,78,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,10000+,>4,50,0
0.91,Male,No relevent experience,Full time course,High School,2,,never,16,0
0.92,Male,Has relevent experience,no_enrollment,Masters,18,1000-4999,1,111,0
0.91,Male,Has relevent experience,no_enrollment,Masters,7,5000-9999,2,62,0
0.903,Male,Has relevent experience,no_enrollment,Graduate,5,50-99,1,108,0
0.722,Male,Has relevent experience,no_enrollment,Graduate,11,Oct-49,1,91,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,6,100-500,2,71,1
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,,>4,102,1
0.74,Male,No relevent experience,Full time course,Graduate,2,,never,141,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,1,10000+,1,167,1
0.893,Male,Has relevent experience,Part time course,Graduate,14,Oct-49,>4,17,0
0.91,,Has relevent experience,no_enrollment,Graduate,>20,,>4,148,0
0.624,,Has relevent experience,Full time course,Masters,3,50-99,2,60,0
0.624,Male,No relevent experience,Full time course,High School,3,,never,12,0
0.804,Male,Has relevent experience,no_enrollment,Graduate,16,,1,166,0
0.893,Male,No relevent experience,Part time course,High School,5,50-99,1,32,0
0.682,,Has relevent experience,no_enrollment,Graduate,15,50-99,2,74,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,19,1000-4999,1,13,0
0.855,Male,Has relevent experience,no_enrollment,Masters,>20,,1,12,0
0.754,Male,Has relevent experience,no_enrollment,Masters,7,50-99,>4,41,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,50-99,never,11,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,12,1000-4999,2,5,0
0.804,Male,Has relevent experience,no_enrollment,Masters,10,100-500,>4,32,0
0.55,Male,Has relevent experience,no_enrollment,Graduate,6,,1,78,1
0.91,,No relevent experience,no_enrollment,Graduate,>20,100-500,1,18,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,>4,156,0
0.698,Male,No relevent experience,no_enrollment,Graduate,4,,4,15,0
0.624,,Has relevent experience,no_enrollment,Graduate,<1,10000+,,28,1
0.91,Other,Has relevent experience,no_enrollment,Graduate,11,,1,82,0
0.887,Male,Has relevent experience,no_enrollment,Graduate,5,10000+,1,222,0
0.91,Male,Has relevent experience,no_enrollment,High School,17,10000+,>4,22,0
0.924,Male,Has relevent experience,no_enrollment,High School,11,50-99,1,36,0
0.698,,Has relevent experience,Full time course,Masters,9,100-500,3,30,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,8,50-99,2,168,0
0.897,Male,No relevent experience,Part time course,Masters,3,50-99,3,156,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,5,10000+,2,29,1
